Date,Production_nette,Consommation_Finale,Solde_Import-Export
2000-1,5415,5128,59
2000-2,4880,4668,141
2000-3,5072,4737,12
2000-4,4621,4093,-194
2000-5,6256,4119,-1822
2000-6,6100,3895,-1927
2000-7,5012,3832,-870
2000-8,4661,3917,-432
2000-9,4798,4065,-429
2000-10,5825,4439,-1038
2000-11,5563,4694,-530
2000-12,5171,4786,-40
2001-1,5566,5165,-52
2001-2,5193,4607,-238
2001-3,5629,4869,-403
2001-4,5289,4359,-574
2001-5,6456,4181,-1955
2001-6,6443,4001,-2157
2001-7,6534,3966,-2247
2001-8,6132,4003,-1810
2001-9,5415,4195,-906
2001-10,5428,4396,-688
2001-11,5136,4881,97
2001-12,5006,5126,489
2002-1,4897,5403,871
2002-2,4205,4602,745
2002-3,4734,4742,356
2002-4,4667,4367,57
2002-5,5755,4231,-1200
2002-6,5804,4080,-1433
2002-7,5998,3997,-1677
2002-8,5271,3996,-957
2002-9,5328,4220,-792
2002-10,4923,4629,68
2002-11,5574,4774,-456
2002-12,5437,4988,-90
2003-1,5725,5360,-3
2003-2,5311,5003,70
2003-3,4823,4860,394
2003-4,4730,4371,-1
2003-5,5872,4142,-1413
2003-6,5802,4202,-1300
2003-7,6193,4101,-1760
2003-8,5042,4108,-607
2003-9,4854,4237,-300
2003-10,5064,4736,42
2003-11,4465,4850,735
2003-12,4492,5152,1031
2004-1,4987,5408,786
2004-2,4525,4958,808
2004-3,5186,5161,354
2004-4,4525,4414,251
2004-5,5366,4316,-720
2004-6,5518,4232,-984
2004-7,6087,4113,-1641
2004-8,4970,4178,-460
2004-9,4819,4322,-174
2004-10,4961,4660,63
2004-11,5172,5020,211
2004-12,4974,5389,803
2005-1,4998,5538,914
2005-2,5156,5141,374
2005-3,5014,5130,493
2005-4,4079,4568,864
2005-5,4477,4350,206
2005-6,4422,4337,225
2005-7,4528,4220,34
2005-8,4120,4232,449
2005-9,4877,4430,-116
2005-10,4580,4706,494
2005-11,4569,5084,883
2005-12,4467,5594,1530
2006-1,4504,5760,1644
2006-2,4320,5146,1216
2006-3,4740,5499,1164
2006-4,4626,4531,277
2006-5,5596,4450,-805
2006-6,4955,4342,-302
2006-7,5883,4283,-1253
2006-8,4561,4257,35
2006-9,5391,4457,-601
2006-10,5136,4687,-82
2006-11,4850,5028,542
2006-12,4859,5342,868
2007-1,4845,5409,928
2007-2,4530,4868,707
2007-3,4876,5180,686
2007-4,4717,4345,-15
2007-5,5559,4445,-773
2007-6,6150,4368,-1469
2007-7,6838,4287,-2203
2007-8,5684,4342,-996
2007-9,5391,4466,-591
2007-10,5437,4884,-171
2007-11,4891,5325,819
2007-12,4894,5513,1016
2008-1,4904,5604,1077
2008-2,4642,5141,888
2008-3,4812,5227,800
2008-4,4690,4866,576
2008-5,5827,4507,-974
2008-6,5922,4455,-1147
2008-7,6597,4360,-1883
2008-8,5192,4351,-495
2008-9,6606,4604,-1657
2008-10,5011,4908,281
2008-11,5105,5176,445
2008-12,4974,5530,954
2009-1,5268,5856,982
2009-2,4535,5131,984
2009-3,4892,5232,726
2009-4,5311,4321,-635
2009-5,6232,4304,-1597
2009-6,6091,4250,-1536
2009-7,6917,4260,-2311
2009-8,5633,4290,-1002
2009-9,5022,4428,-262
2009-10,4831,4824,371
2009-11,4430,5062,998
2009-12,4809,5536,1125
2010-1,5417,5850,827
2010-2,4788,5229,836
2010-3,4886,5462,979
